Price	Close	High	Low	Open	Volume
Ticker	AAPL	AAPL	AAPL	AAPL	AAPL
Date					
1999-01-25	0.3085256815	0.3113345273	0.2907346163	0.2940115947	1889328000
1999-02-01	0.2720080912	0.3141434042	0.2659214168	0.3122708236	2165800000
1999-02-08	0.2823081315	0.2977576626	0.2696674718	0.2748170322	2727110400
1999-02-15	0.2785620987	0.2912027552	0.26638955	0.2912027552	1458150400
1999-02-22	0.2607718706	0.2963531783	0.2584311573	0.2799665349	1765456000
1999-03-01	0.2485992759	0.2645169321	0.242513428	0.2607717969	2299539200
1999-03-08	0.2485992759	0.2598355068	0.2397037328	0.2490674085	2161700800
1999-03-15	0.2509400249	0.2701355385	0.2462586234	0.2495356019	1881891200
1999-03-22	0.2490674555	0.2635806918	0.2434497641	0.254685147	2063118400
1999-03-29	0.2701354623	0.278093865	0.2504718215	0.250939954	1807803200
1999-04-05	0.2752851546	0.2869895482	0.2691993039	0.2696674617	2066288000
1999-04-12	0.265453279	0.2776258025	0.2570267167	0.2621762756	3725926400
1999-04-19	0.2935435176	0.2954169236	0.2509400648	0.2673258851	3584089600
1999-04-26	0.3445743322	0.3530017206	0.2940116271	0.2958850579	6250608000
1999-05-03	0.3436380029	0.3745379067	0.3202292212	0.3450424258	3728838400
1999-05-10	0.3324018419	0.3515973341	0.3263159914	0.3501929109	1768872000
1999-05-17	0.3291248381	0.3445743684	0.3183567352	0.3277204149	1808318400
1999-05-24	0.3300611079	0.3324018214	0.3066523225	0.326784104	1602876800
1999-05-31	0.3604928553	0.360960988	0.3295929469	0.3370840702	1839275200
1999-06-07	0.3478521109	0.3670467732	0.3464468379	0.3604927916	1587824000
1999-06-14	0.353001684	0.3600238235	0.3380203146	0.3483202826	944955200
1999-06-21	0.316015929	0.3539379445	0.3150796388	0.3520653891	1545219200
1999-06-28	0.346915096	0.3515973487	0.3174204575	0.3178886153	1274246400
1999-07-05	0.4166732132	0.4166732132	0.3431698863	0.3441061766	3786708800
1999-07-12	0.3974777758	0.4241635673	0.3843689589	0.4157370029	3315032000
1999-07-19	0.3993503153	0.4180776733	0.382964496	0.4040325674	2357320000
1999-07-26	0.4171414375	0.4204184168	0.3810919901	0.3960733634	1734622400
1999-08-02	0.405436933	0.4344634311	0.3904555639	0.4166731912	1860342400
1999-08-09	0.4499130547	0.4644262952	0.4016919058	0.4070755449	2464392000
1999-08-16	0.4433589876	0.4644261814	0.4358678652	0.448040364	1944409600
1999-08-23	0.4850261211	0.4868987017	0.444295256	0.4447634136	2004318400
1999-08-30	0.5505703092	0.563679126	0.4644262839	0.4868988057	4290182400
1999-09-06	0.580064714	0.5838106745	0.5505700878	0.5524426681	2739844800
1999-09-13	0.5763197541	0.5927055743	0.5533791258	0.5772560696	1719032000
1999-09-20	0.486430496	0.6001965427	0.4719172604	0.5767877627	7261027200
1999-09-27	0.4623196423	0.5000075883	0.430250239	0.497198742	4543313600
1999-10-04	0.4911120236	0.5215437739	0.4672359312	0.4672359312	3066526400
1999-10-11	0.5585294366	0.5678922897	0.4775350116	0.4943898374	4535585600
1999-10-18	0.5538473725	0.5786605857	0.5126483365	0.5533792147	4093353600
1999-10-25	0.6001966596	0.6072187749	0.5491658213	0.5561879366	2158240000
1999-11-01	0.6615267396	0.6619956975	0.5791286708	0.5992605053	1802169600
1999-11-08	0.6788495779	0.7321036422	0.6498231	0.6573133733	2886934400
1999-11-15	0.6924264431	0.7097485256	0.6596539586	0.6713583495	1535632000
1999-11-22	0.7120893002	0.7153671541	0.6629318925	0.6872760924	1092851200
1999-11-29	0.8614367843	0.8656501041	0.6985124326	0.7060035569	3141185600
1999-12-06	0.7715477347	0.8839085611	0.7415849844	0.8581590811	2817113600
1999-12-13	0.7490751743	0.767802535	0.6821266639	0.7669828339	2547641600
1999-12-20	0.7752927542	0.7832519857	0.7237937536	0.7457981171	1148190400
1999-12-27	0.7701432109	0.7823157626	0.7116212412	0.7818476048	1071425600
2000-01-03	0.7453300357	0.8427095039	0.7116212755	0.7855928048	3055203200
2000-01-10	0.7523521185	0.7659290426	0.6479496952	0.7640564617	3345742400
2000-01-17	0.8338147998	0.9101261718	0.7523522417	0.756566362	3383878400
2000-01-24	0.7612476349	0.8553500906	0.7537573611	0.8122784785	2068673600
2000-01-31	0.8090015054	0.8239828527	0.7078760859	0.7565662398	2384424000
2000-02-07	0.8146193027	0.8773544965	0.7935520523	0.8090016093	1664308800
2000-02-14	0.8333464265	0.8984223406	0.8136827549	0.8188323391	1754468800
2000-02-21	0.8267915249	0.8923356431	0.7991694747	0.8249189944	1520971200
2000-02-28	0.9588160515	0.9892470014	0.8118102865	0.8249191018	2408918400
2000-03-06	0.9419616461	0.9672429472	0.8857812547	0.9438341758	1280126400
2000-03-13	0.9363436699	0.9475799555	0.8539456086	0.9148083142	1859289600
2000-03-20	1.0388733149	1.1264216946	0.9110629778	0.9251081071	2306292800
2000-03-27	1.0173376799	1.0842861045	0.9396210324	1.0309146478	1541019200
2000-04-03	0.9869064093	1.0449601687	0.8745455525	1.0149965735	1948620800
2000-04-10	0.8380278349	0.9943973384	0.7855925786	0.9864380584	2892668800
2000-04-17	0.890462935	0.9756698162	0.8169596434	0.8202374966	2042756800
2000-04-24	0.9293214083	0.9644346348	0.859564113	0.8614366437	1778358400
2000-05-01	0.8473915458	0.9457071521	0.8281959821	0.9354071838	1636017600
2000-05-08	0.8061925173	0.8516048118	0.7397113273	0.839666341	1853790400
